waypoint_id,x,y
0,-533.0,161.0
1,-535.0,161.0
2,-537.0,161.0
3,-539.0,161.0
4,-541.0,161.0
5,-543.0,161.0
6,-545.0,161.0
7,-547.0,161.0
8,-549.0,159.0
9,-551.0,159.0
10,-549.0,159.0
11,-547.0,159.0
12,-545.0,159.0
13,-543.0,159.0
14,-541.0,159.0
15,-539.0,159.0
16,-537.0,159.0
17,-535.0,159.0
18,-533.0,159.0
19,-531.0,159.0
20,-529.0,159.0
21,-527.0,159.0
22,-525.0,159.0
23,-523.0,159.0
24,-521.0,159.0
25,-519.0,159.0
26,-517.0,159.0
27,-515.0,159.0
28,-513.0,159.0
29,-511.0,159.0
30,-509.0,159.0
31,-507.0,159.0
32,-505.0,159.0
33,-503.0,159.0
34,-501.0,159.0
35,-499.0,159.0
36,-497.0,159.0
37,-495.0,159.0
38,-493.0,159.0
39,-491.0,159.0
40,-489.0,159.0
41,-487.0,159.0
42,-485.0,159.0
43,-483.0,159.0
44,-481.0,159.0
45,-479.0,159.0
46,-477.0,159.0
47,-475.0,159.0
48,-473.0,159.0
49,-471.0,159.0
50,-469.0,159.0
51,-467.0,159.0
52,-465.0,159.0
53,-463.0,159.0
54,-461.0,159.0
55,-459.0,159.0
56,-457.0,159.0
57,-455.0,159.0
58,-453.0,159.0
59,-451.0,159.0
60,-449.0,159.0
61,-447.0,159.0
62,-445.0,159.0
63,-445.0,161.0
64,-443.0,163.0
65,-441.0,165.0
66,-439.0,165.0
67,-437.0,165.0
68,-435.0,165.0
69,-433.0,163.0
70,-433.0,161.0
71,-433.0,159.0
72,-431.0,159.0
73,-429.0,159.0
74,-427.0,159.0
75,-425.0,159.0
76,-423.0,159.0
77,-421.0,159.0
78,-419.0,159.0
79,-417.0,159.0
80,-415.0,159.0
81,-413.0,159.0
82,-413.0,161.0
83,-413.0,163.0
84,-415.0,163.0
85,-417.0,163.0
86,-419.0,163.0
87,-421.0,163.0
88,-423.0,163.0
89,-425.0,163.0
90,-427.0,163.0
91,-429.0,163.0
92,-431.0,163.0
93,-433.0,163.0
94,-435.0,163.0
95,-435.0,165.0
96,-437.0,165.0
97,-439.0,165.0
98,-441.0,165.0
99,-441.0,163.0
100,-443.0,163.0
101,-445.0,163.0
102,-447.0,163.0
103,-449.0,163.0
104,-451.0,163.0
105,-453.0,163.0
106,-455.0,163.0
107,-457.0,163.0
108,-459.0,163.0
109,-461.0,163.0
110,-463.0,163.0
111,-465.0,163.0
112,-467.0,163.0
113,-469.0,163.0
114,-471.0,163.0
115,-473.0,163.0
116,-475.0,163.0
117,-477.0,163.0
118,-479.0,163.0
119,-481.0,163.0
120,-483.0,163.0
121,-485.0,163.0
122,-487.0,163.0
123,-489.0,163.0
124,-491.0,163.0
125,-493.0,163.0
126,-495.0,163.0
127,-497.0,163.0
128,-499.0,163.0
129,-501.0,163.0
130,-503.0,163.0
131,-505.0,163.0
132,-507.0,163.0
133,-509.0,163.0
134,-511.0,163.0
